Local time,Open,High,Low,Close,Volume
27.12.2019 00:00:00.000 GMT+0100,1.59824,1.59871,1.59772,1.59796,4753.27
27.12.2019 01:00:00.000 GMT+0100,1.59796,1.59867,1.59718,1.59825,5293.98
27.12.2019 02:00:00.000 GMT+0100,1.59837,1.59878,1.59777,1.59865,5355.8101
27.12.2019 03:00:00.000 GMT+0100,1.59865,1.59969,1.59844,1.59963,4739.0098
27.12.2019 04:00:00.000 GMT+0100,1.59968,1.59969,1.59856,1.59868,3873.73
27.12.2019 05:00:00.000 GMT+0100,1.59865,1.59941,1.59836,1.59927,3176.3799
27.12.2019 06:00:00.000 GMT+0100,1.59927,1.59950,1.59905,1.59940,3460.9299
27.12.2019 07:00:00.000 GMT+0100,1.59940,1.60003,1.59925,1.59944,3857.3799
27.12.2019 08:00:00.000 GMT+0100,1.59944,1.60163,1.59921,1.60109,6926.0898
27.12.2019 09:00:00.000 GMT+0100,1.60109,1.60180,1.59997,1.60000,9234.04
27.12.2019 10:00:00.000 GMT+0100,1.60001,1.60095,1.59963,1.60062,5431.9102
27.12.2019 11:00:00.000 GMT+0100,1.60063,1.60090,1.59831,1.60007,6606.6602
27.12.2019 12:00:00.000 GMT+0100,1.60007,1.60025,1.59769,1.59963,6530.5601
27.12.2019 13:00:00.000 GMT+0100,1.59963,1.60052,1.59864,1.59922,6840.9302
27.12.2019 14:00:00.000 GMT+0100,1.59921,1.60009,1.59835,1.59974,8068.7402
27.12.2019 15:00:00.000 GMT+0100,1.59973,1.60218,1.59873,1.60182,8218.0801
27.12.2019 16:00:00.000 GMT+0100,1.60182,1.60206,1.59836,1.59861,10861.4004
27.12.2019 17:00:00.000 GMT+0100,1.59861,1.60136,1.59817,1.60123,10679.0303
27.12.2019 18:00:00.000 GMT+0100,1.60123,1.60334,1.60098,1.60315,4384.1602
27.12.2019 19:00:00.000 GMT+0100,1.60317,1.60350,1.60236,1.60311,3345.99
27.12.2019 20:00:00.000 GMT+0100,1.60311,1.60321,1.60110,1.60121,4265.27
27.12.2019 21:00:00.000 GMT+0100,1.60121,1.60170,1.60097,1.60124,3254.8301
27.12.2019 22:00:00.000 GMT+0100,1.60133,1.60154,1.59931,1.59941,1999.27
29.12.2019 23:00:00.000 GMT+0100,1.59979,1.60148,1.59826,1.60147,1806.34
30.12.2019 00:00:00.000 GMT+0100,1.60133,1.60220,1.60041,1.60136,4067.6499
30.12.2019 01:00:00.000 GMT+0100,1.60136,1.60150,1.59984,1.60122,6756.4102
30.12.2019 02:00:00.000 GMT+0100,1.60121,1.60236,1.60080,1.60119,5215.71
30.12.2019 03:00:00.000 GMT+0100,1.60119,1.60189,1.60025,1.60163,5146.6099
30.12.2019 04:00:00.000 GMT+0100,1.60163,1.60239,1.60105,1.60232,5261.0601
30.12.2019 05:00:00.000 GMT+0100,1.60232,1.60323,1.60185,1.60189,3469.96
30.12.2019 06:00:00.000 GMT+0100,1.60187,1.60267,1.60131,1.60180,3717.3201
30.12.2019 07:00:00.000 GMT+0100,1.60179,1.60244,1.60138,1.60206,4027.8501
30.12.2019 08:00:00.000 GMT+0100,1.60206,1.60352,1.60176,1.60246,7252.3301
30.12.2019 09:00:00.000 GMT+0100,1.60246,1.60325,1.60155,1.60262,9586.6299
30.12.2019 10:00:00.000 GMT+0100,1.60262,1.60278,1.60046,1.60075,6891.1802
30.12.2019 11:00:00.000 GMT+0100,1.60075,1.60134,1.59962,1.60021,6138.5
30.12.2019 12:00:00.000 GMT+0100,1.60025,1.60095,1.59928,1.59953,5534.6499
30.12.2019 13:00:00.000 GMT+0100,1.59953,1.60025,1.59887,1.60004,5635.1401
30.12.2019 14:00:00.000 GMT+0100,1.60005,1.60047,1.59821,1.59952,8057.6699
30.12.2019 15:00:00.000 GMT+0100,1.59952,1.60208,1.59835,1.60156,11117.5195
30.12.2019 16:00:00.000 GMT+0100,1.60153,1.60257,1.59980,1.60107,11789.6104
30.12.2019 17:00:00.000 GMT+0100,1.60106,1.60213,1.60095,1.60144,8831.6104
30.12.2019 18:00:00.000 GMT+0100,1.60144,1.60156,1.60074,1.60138,4574.3901
30.12.2019 19:00:00.000 GMT+0100,1.60138,1.60150,1.60017,1.60036,3961.0601
30.12.2019 20:00:00.000 GMT+0100,1.60036,1.60076,1.59944,1.60067,3343.3999
30.12.2019 21:00:00.000 GMT+0100,1.60065,1.60119,1.60035,1.60094,3889
30.12.2019 22:00:00.000 GMT+0100,1.60095,1.60168,1.60075,1.60090,1309.13
30.12.2019 23:00:00.000 GMT+0100,1.60084,1.60147,1.59914,1.60074,2375.6299
31.12.2019 00:00:00.000 GMT+0100,1.60075,1.60117,1.59964,1.59982,2807.4399
31.12.2019 01:00:00.000 GMT+0100,1.59985,1.60062,1.59911,1.59969,3806.79
31.12.2019 02:00:00.000 GMT+0100,1.59971,1.60074,1.59966,1.60043,4753.25
31.12.2019 03:00:00.000 GMT+0100,1.60043,1.60085,1.59999,1.60026,3949.9299
31.12.2019 04:00:00.000 GMT+0100,1.60036,1.60067,1.59899,1.59974,3067.4199
31.12.2019 05:00:00.000 GMT+0100,1.59974,1.60000,1.59892,1.59918,2781.6599
31.12.2019 06:00:00.000 GMT+0100,1.59915,1.59967,1.59892,1.59929,2415.73
31.12.2019 07:00:00.000 GMT+0100,1.59935,1.59951,1.59861,1.59877,2720.26
31.12.2019 08:00:00.000 GMT+0100,1.59877,1.59923,1.59802,1.59870,4433.2002
31.12.2019 09:00:00.000 GMT+0100,1.59870,1.60067,1.59841,1.60028,5367.71
31.12.2019 10:00:00.000 GMT+0100,1.60028,1.60057,1.59918,1.59940,4906.4199
31.12.2019 11:00:00.000 GMT+0100,1.59937,1.60037,1.59864,1.60009,5046.23
31.12.2019 12:00:00.000 GMT+0100,1.60010,1.60102,1.59957,1.60071,6457.5298
31.12.2019 13:00:00.000 GMT+0100,1.60071,1.60147,1.60007,1.60031,5479.3799
31.12.2019 14:00:00.000 GMT+0100,1.60033,1.60081,1.59920,1.59976,7153.8198
31.12.2019 15:00:00.000 GMT+0100,1.59977,1.60020,1.59762,1.59817,10099.4199
31.12.2019 16:00:00.000 GMT+0100,1.59812,1.59885,1.59668,1.59699,14681.8096
31.12.2019 17:00:00.000 GMT+0100,1.59699,1.59764,1.59650,1.59693,10534.3398
31.12.2019 18:00:00.000 GMT+0100,1.59691,1.59859,1.59629,1.59851,4919.4199
31.12.2019 19:00:00.000 GMT+0100,1.59848,1.59972,1.59796,1.59959,2413.1699
31.12.2019 20:00:00.000 GMT+0100,1.59956,1.59960,1.59797,1.59843,2320.3401
31.12.2019 21:00:00.000 GMT+0100,1.59843,1.59879,1.59818,1.59860,1671.0601
31.12.2019 22:00:00.000 GMT+0100,1.59857,1.59858,1.59705,1.59714,1692.83
01.01.2020 23:00:00.000 GMT+0100,1.59765,1.60067,1.59574,1.60038,1017.93
02.01.2020 00:00:00.000 GMT+0100,1.60031,1.60031,1.59811,1.59832,3365.46
02.01.2020 01:00:00.000 GMT+0100,1.59829,1.59953,1.59804,1.59926,3842.3101
02.01.2020 02:00:00.000 GMT+0100,1.59928,1.59964,1.59871,1.59936,5765.2402
02.01.2020 03:00:00.000 GMT+0100,1.59936,1.59976,1.59841,1.59954,3713.5801
02.01.2020 04:00:00.000 GMT+0100,1.59952,1.60046,1.59913,1.60040,3715.26
02.01.2020 05:00:00.000 GMT+0100,1.60040,1.60083,1.59941,1.59957,3122.5601
02.01.2020 06:00:00.000 GMT+0100,1.59957,1.60138,1.59922,1.60010,4363.7402
02.01.2020 07:00:00.000 GMT+0100,1.60011,1.60168,1.59986,1.60096,4582.4199
02.01.2020 08:00:00.000 GMT+0100,1.60097,1.60164,1.60057,1.60114,6698.7202
02.01.2020 09:00:00.000 GMT+0100,1.60119,1.60160,1.60012,1.60031,7429.4902
02.01.2020 10:00:00.000 GMT+0100,1.60031,1.60134,1.60015,1.60090,6597.2402
02.01.2020 11:00:00.000 GMT+0100,1.60088,1.60184,1.59999,1.60035,5694.6201
02.01.2020 12:00:00.000 GMT+0100,1.60038,1.60227,1.60016,1.60124,7432.6499
02.01.2020 13:00:00.000 GMT+0100,1.60124,1.60179,1.60045,1.60074,7213.5298
02.01.2020 14:00:00.000 GMT+0100,1.60074,1.60108,1.59916,1.60021,184079.7969
02.01.2020 15:00:00.000 GMT+0100,1.60021,1.60021,1.59739,1.59806,20074.8906
02.01.2020 16:00:00.000 GMT+0100,1.59803,1.59955,1.59742,1.59942,22707.0391
02.01.2020 17:00:00.000 GMT+0100,1.59942,1.60131,1.59923,1.59929,10658.0596
02.01.2020 18:00:00.000 GMT+0100,1.59929,1.60019,1.59898,1.59927,6922.1499
02.01.2020 19:00:00.000 GMT+0100,1.59927,1.59979,1.59888,1.59962,5518.3101
02.01.2020 20:00:00.000 GMT+0100,1.59962,1.60005,1.59890,1.59923,4724.8599
02.01.2020 21:00:00.000 GMT+0100,1.59925,1.59950,1.59837,1.59859,4097.1299
02.01.2020 22:00:00.000 GMT+0100,1.59858,1.59890,1.59738,1.59738,1840.0699
02.01.2020 23:00:00.000 GMT+0100,1.59738,1.59995,1.59678,1.59942,1524.14
03.01.2020 00:00:00.000 GMT+0100,1.59942,1.60024,1.59914,1.59955,3135.9199
03.01.2020 01:00:00.000 GMT+0100,1.59956,1.60095,1.59948,1.60019,4618.1099
03.01.2020 02:00:00.000 GMT+0100,1.60021,1.60255,1.59970,1.60221,7236.54
03.01.2020 03:00:00.000 GMT+0100,1.60222,1.60410,1.60145,1.60334,9614.6201
03.01.2020 04:00:00.000 GMT+0100,1.60333,1.60442,1.60280,1.60321,6588.7998
03.01.2020 05:00:00.000 GMT+0100,1.60320,1.60368,1.60256,1.60363,3609.05
03.01.2020 06:00:00.000 GMT+0100,1.60363,1.60467,1.60323,1.60418,5775.6602
03.01.2020 07:00:00.000 GMT+0100,1.60418,1.60485,1.60360,1.60419,4762.3501
03.01.2020 08:00:00.000 GMT+0100,1.60419,1.60458,1.60303,1.60369,10300.7598
03.01.2020 09:00:00.000 GMT+0100,1.60370,1.60513,1.60299,1.60422,11542.7402
03.01.2020 10:00:00.000 GMT+0100,1.60424,1.60620,1.60395,1.60581,9701
03.01.2020 11:00:00.000 GMT+0100,1.60582,1.60590,1.60421,1.60528,9418.5996
03.01.2020 12:00:00.000 GMT+0100,1.60528,1.60548,1.60423,1.60542,8485.6602
03.01.2020 13:00:00.000 GMT+0100,1.60542,1.60581,1.60277,1.60333,7459.8999
