Local time,Open,High,Low,Close,Volume
27.12.2019 00:00:00.000 GMT+0100,0.85344,0.85406,0.85344,0.85381,2638.9399
27.12.2019 01:00:00.000 GMT+0100,0.85381,0.85426,0.85359,0.85409,4285.3999
27.12.2019 02:00:00.000 GMT+0100,0.85409,0.85648,0.85403,0.85596,5014.8301
27.12.2019 03:00:00.000 GMT+0100,0.85596,0.85614,0.85531,0.85575,4320.9502
27.12.2019 04:00:00.000 GMT+0100,0.85577,0.85609,0.85521,0.85521,2900.5801
27.12.2019 05:00:00.000 GMT+0100,0.85523,0.85524,0.85471,0.85499,2676.53
27.12.2019 06:00:00.000 GMT+0100,0.85499,0.85581,0.85497,0.85571,2228.6799
27.12.2019 07:00:00.000 GMT+0100,0.85571,0.85583,0.85435,0.85476,4094.02
27.12.2019 08:00:00.000 GMT+0100,0.85476,0.85521,0.85348,0.85354,8476.3799
27.12.2019 09:00:00.000 GMT+0100,0.85358,0.85505,0.85149,0.85203,9827.4199
27.12.2019 10:00:00.000 GMT+0100,0.85203,0.85267,0.85193,0.85213,6354.9502
27.12.2019 11:00:00.000 GMT+0100,0.85214,0.85312,0.85206,0.85304,6237.1001
27.12.2019 12:00:00.000 GMT+0100,0.85300,0.85332,0.85218,0.85231,5404.3198
27.12.2019 13:00:00.000 GMT+0100,0.85233,0.85234,0.85123,0.85162,5892.9502
27.12.2019 14:00:00.000 GMT+0100,0.85164,0.85272,0.85087,0.85217,6071.4502
27.12.2019 15:00:00.000 GMT+0100,0.85217,0.85246,0.85127,0.85144,5205.7002
27.12.2019 16:00:00.000 GMT+0100,0.85143,0.85304,0.85124,0.85249,7257.5298
27.12.2019 17:00:00.000 GMT+0100,0.85247,0.85390,0.85232,0.85358,6001.5601
27.12.2019 18:00:00.000 GMT+0100,0.85358,0.85434,0.85344,0.85414,3417.9099
27.12.2019 19:00:00.000 GMT+0100,0.85413,0.85417,0.85362,0.85389,2810.6299
27.12.2019 20:00:00.000 GMT+0100,0.85387,0.85452,0.85383,0.85428,3064.8501
27.12.2019 21:00:00.000 GMT+0100,0.85429,0.85487,0.85420,0.85468,2926.0701
27.12.2019 22:00:00.000 GMT+0100,0.85469,0.85475,0.85377,0.85386,1985.1899
29.12.2019 23:00:00.000 GMT+0100,0.85309,0.85436,0.85274,0.85432,2477.8899
30.12.2019 00:00:00.000 GMT+0100,0.85433,0.85473,0.85367,0.85411,2906.48
30.12.2019 01:00:00.000 GMT+0100,0.85410,0.85419,0.85371,0.85416,3375.23
30.12.2019 02:00:00.000 GMT+0100,0.85416,0.85437,0.85395,0.85403,2728.1499
30.12.2019 03:00:00.000 GMT+0100,0.85402,0.85413,0.85364,0.85378,3720.3999
30.12.2019 04:00:00.000 GMT+0100,0.85378,0.85459,0.85358,0.85365,3798.23
30.12.2019 05:00:00.000 GMT+0100,0.85369,0.85425,0.85369,0.85395,2350.8
30.12.2019 06:00:00.000 GMT+0100,0.85395,0.85426,0.85349,0.85389,3199.3201
30.12.2019 07:00:00.000 GMT+0100,0.85389,0.85428,0.85351,0.85392,2585.29
30.12.2019 08:00:00.000 GMT+0100,0.85391,0.85463,0.85315,0.85321,6206.6299
30.12.2019 09:00:00.000 GMT+0100,0.85321,0.85565,0.85321,0.85517,8261.3203
30.12.2019 10:00:00.000 GMT+0100,0.85519,0.85530,0.85341,0.85366,6867.54
30.12.2019 11:00:00.000 GMT+0100,0.85366,0.85396,0.85311,0.85323,6160.9302
30.12.2019 12:00:00.000 GMT+0100,0.85325,0.85374,0.85278,0.85289,4887.4399
30.12.2019 13:00:00.000 GMT+0100,0.85289,0.85299,0.85168,0.85208,5441.5
30.12.2019 14:00:00.000 GMT+0100,0.85207,0.85313,0.85187,0.85285,6908.4102
30.12.2019 15:00:00.000 GMT+0100,0.85285,0.85291,0.85118,0.85251,7869.3398
30.12.2019 16:00:00.000 GMT+0100,0.85251,0.85441,0.85243,0.85403,8778.5898
30.12.2019 17:00:00.000 GMT+0100,0.85403,0.85448,0.85332,0.85357,8411.54
30.12.2019 18:00:00.000 GMT+0100,0.85357,0.85479,0.85300,0.85453,6385.4502
30.12.2019 19:00:00.000 GMT+0100,0.85453,0.85483,0.85363,0.85381,4388.0698
30.12.2019 20:00:00.000 GMT+0100,0.85382,0.85420,0.85329,0.85408,4155.6401
30.12.2019 21:00:00.000 GMT+0100,0.85406,0.85473,0.85404,0.85457,3768.6699
30.12.2019 22:00:00.000 GMT+0100,0.85456,0.85481,0.85396,0.85396,2894.25
30.12.2019 23:00:00.000 GMT+0100,0.85396,0.85421,0.85341,0.85355,3704.3501
31.12.2019 00:00:00.000 GMT+0100,0.85356,0.85437,0.85355,0.85426,1850.64
31.12.2019 01:00:00.000 GMT+0100,0.85423,0.85442,0.85388,0.85423,2643.52
31.12.2019 02:00:00.000 GMT+0100,0.85425,0.85465,0.85410,0.85426,2923.51
31.12.2019 03:00:00.000 GMT+0100,0.85425,0.85430,0.85362,0.85379,2598.76
31.12.2019 04:00:00.000 GMT+0100,0.85381,0.85381,0.85309,0.85345,1915.61
31.12.2019 05:00:00.000 GMT+0100,0.85343,0.85386,0.85336,0.85382,1519.13
31.12.2019 06:00:00.000 GMT+0100,0.85383,0.85446,0.85383,0.85436,2531.45
31.12.2019 07:00:00.000 GMT+0100,0.85436,0.85445,0.85429,0.85438,1472.42
31.12.2019 08:00:00.000 GMT+0100,0.85440,0.85488,0.85282,0.85283,4155.6401
31.12.2019 09:00:00.000 GMT+0100,0.85284,0.85440,0.85272,0.85343,6825.98
31.12.2019 10:00:00.000 GMT+0100,0.85340,0.85377,0.85185,0.85215,6467.6201
31.12.2019 11:00:00.000 GMT+0100,0.85214,0.85290,0.85133,0.85143,8406.4004
31.12.2019 12:00:00.000 GMT+0100,0.85143,0.85177,0.84983,0.84995,11603.7305
31.12.2019 13:00:00.000 GMT+0100,0.84995,0.85142,0.84982,0.85114,7447.46
31.12.2019 14:00:00.000 GMT+0100,0.85116,0.85125,0.85019,0.85035,6323.8398
31.12.2019 15:00:00.000 GMT+0100,0.85034,0.85104,0.84895,0.84903,7876.6899
31.12.2019 16:00:00.000 GMT+0100,0.84903,0.84936,0.84731,0.84747,9729.79
31.12.2019 17:00:00.000 GMT+0100,0.84748,0.84804,0.84537,0.84611,9280.0303
31.12.2019 18:00:00.000 GMT+0100,0.84610,0.84663,0.84564,0.84662,5428.6201
31.12.2019 19:00:00.000 GMT+0100,0.84659,0.84693,0.84616,0.84685,2847.9199
31.12.2019 20:00:00.000 GMT+0100,0.84684,0.84744,0.84676,0.84720,2260.72
31.12.2019 21:00:00.000 GMT+0100,0.84720,0.84762,0.84666,0.84679,2704.5
31.12.2019 22:00:00.000 GMT+0100,0.84678,0.84680,0.84507,0.84511,2709.9199
01.01.2020 23:00:00.000 GMT+0100,0.84593,0.84648,0.84560,0.84584,10240.7305
02.01.2020 00:00:00.000 GMT+0100,0.84584,0.84674,0.84584,0.84663,3623.04
02.01.2020 01:00:00.000 GMT+0100,0.84661,0.84675,0.84584,0.84617,3085.9199
02.01.2020 02:00:00.000 GMT+0100,0.84617,0.84647,0.84596,0.84642,4251.5601
02.01.2020 03:00:00.000 GMT+0100,0.84642,0.84726,0.84635,0.84699,3272.1399
02.01.2020 04:00:00.000 GMT+0100,0.84699,0.84921,0.84694,0.84880,4033.02
02.01.2020 05:00:00.000 GMT+0100,0.84881,0.84917,0.84797,0.84806,3342.05
02.01.2020 06:00:00.000 GMT+0100,0.84806,0.84840,0.84779,0.84787,3631.3999
02.01.2020 07:00:00.000 GMT+0100,0.84787,0.84841,0.84736,0.84769,3742.97
02.01.2020 08:00:00.000 GMT+0100,0.84768,0.84827,0.84708,0.84794,6268.1602
02.01.2020 09:00:00.000 GMT+0100,0.84793,0.84862,0.84729,0.84794,7451.6201
02.01.2020 10:00:00.000 GMT+0100,0.84795,0.84827,0.84754,0.84776,4562.77
02.01.2020 11:00:00.000 GMT+0100,0.84777,0.84799,0.84715,0.84758,4171.23
02.01.2020 12:00:00.000 GMT+0100,0.84758,0.84871,0.84730,0.84731,6161.9199
02.01.2020 13:00:00.000 GMT+0100,0.84733,0.84845,0.84687,0.84810,4802.2798
02.01.2020 14:00:00.000 GMT+0100,0.84811,0.84993,0.84807,0.84967,26104.1992
02.01.2020 15:00:00.000 GMT+0100,0.84968,0.85039,0.84943,0.84985,12312.25
02.01.2020 16:00:00.000 GMT+0100,0.84985,0.84997,0.84742,0.84919,88273.8906
02.01.2020 17:00:00.000 GMT+0100,0.84919,0.85127,0.84904,0.85059,9772.6104
02.01.2020 18:00:00.000 GMT+0100,0.85062,0.85142,0.85032,0.85037,7800.3501
02.01.2020 19:00:00.000 GMT+0100,0.85037,0.85070,0.84979,0.85006,4938.5
02.01.2020 20:00:00.000 GMT+0100,0.85006,0.85059,0.84987,0.85045,4205.5298
02.01.2020 21:00:00.000 GMT+0100,0.85046,0.85047,0.84967,0.85004,4425.23
02.01.2020 22:00:00.000 GMT+0100,0.85003,0.85051,0.85000,0.85020,2245.4199
02.01.2020 23:00:00.000 GMT+0100,0.84986,0.85011,0.84898,0.84944,1618.23
03.01.2020 00:00:00.000 GMT+0100,0.84946,0.85024,0.84946,0.84961,2516.0601
03.01.2020 01:00:00.000 GMT+0100,0.84962,0.84998,0.84935,0.84941,2879.99
03.01.2020 02:00:00.000 GMT+0100,0.84941,0.85061,0.84927,0.85042,4005.4199
03.01.2020 03:00:00.000 GMT+0100,0.85042,0.85135,0.85026,0.85098,6129.7798
03.01.2020 04:00:00.000 GMT+0100,0.85098,0.85102,0.85037,0.85040,6761.6201
03.01.2020 05:00:00.000 GMT+0100,0.85040,0.85102,0.85031,0.85095,3550.8799
03.01.2020 06:00:00.000 GMT+0100,0.85095,0.85125,0.85073,0.85093,4516.8301
03.01.2020 07:00:00.000 GMT+0100,0.85093,0.85186,0.85093,0.85101,3623.73
03.01.2020 08:00:00.000 GMT+0100,0.85101,0.85245,0.85101,0.85187,9139.1504
03.01.2020 09:00:00.000 GMT+0100,0.85187,0.85229,0.85041,0.85134,10001.21
03.01.2020 10:00:00.000 GMT+0100,0.85134,0.85255,0.85104,0.85243,9095.9199
03.01.2020 11:00:00.000 GMT+0100,0.85242,0.85247,0.85073,0.85143,7765.0698
03.01.2020 12:00:00.000 GMT+0100,0.85143,0.85233,0.85107,0.85225,6876.3101
03.01.2020 13:00:00.000 GMT+0100,0.85225,0.85268,0.85147,0.85148,5708.5698
03.01.2020 14:00:00.000 GMT+0100,0.85148,0.85203,0.85039,0.85201,6228.3999
03.01.2020 15:00:00.000 GMT+0100,0.85199,0.85338,0.85138,0.85317,6868.98
03.01.2020 16:00:00.000 GMT+0100,0.85321,0.85412,0.85251,0.85397,9068.1797
03.01.2020 17:00:00.000 GMT+0100,0.85398,0.85425,0.85302,0.85346,6910.2202
03.01.2020 18:00:00.000 GMT+0100,0.85346,0.85409,0.85329,0.85357,4083.6299
03.01.2020 19:00:00.000 GMT+0100,0.85356,0.85429,0.85333,0.85333,4239.7402
03.01.2020 20:00:00.000 GMT+0100,0.85332,0.85398,0.85321,0.85383,4505.1001
03.01.2020 21:00:00.000 GMT+0100,0.85382,0.85387,0.85354,0.85370,1793.8101
03.01.2020 22:00:00.000 GMT+0100,0.85371,0.85378,0.85249,0.85261,2360.8501
05.01.2020 23:00:00.000 GMT+0100,0.85305,0.85399,0.85143,0.85351,1533.36
06.01.2020 00:00:00.000 GMT+0100,0.85403,0.85421,0.85301,0.85337,3077.71
06.01.2020 01:00:00.000 GMT+0100,0.85337,0.85360,0.85313,0.85343,2345.3899
06.01.2020 02:00:00.000 GMT+0100,0.85344,0.85368,0.85319,0.85342,2275.47
06.01.2020 03:00:00.000 GMT+0100,0.85343,0.85343,0.85301,0.85310,2035.6
06.01.2020 04:00:00.000 GMT+0100,0.85310,0.85365,0.85309,0.85347,2269.8701
06.01.2020 05:00:00.000 GMT+0100,0.85349,0.85349,0.85299,0.85322,1982.2
06.01.2020 06:00:00.000 GMT+0100,0.85322,0.85337,0.85307,0.85327,1756.96
06.01.2020 07:00:00.000 GMT+0100,0.85327,0.85372,0.85297,0.85299,4660.73
06.01.2020 08:00:00.000 GMT+0100,0.85300,0.85421,0.85249,0.85397,6995.4502
06.01.2020 09:00:00.000 GMT+0100,0.85397,0.85447,0.85269,0.85292,8435.4297
06.01.2020 10:00:00.000 GMT+0100,0.85289,0.85312,0.85090,0.85159,9299.9004
06.01.2020 11:00:00.000 GMT+0100,0.85155,0.85173,0.84997,0.85126,8672.1396
06.01.2020 12:00:00.000 GMT+0100,0.85125,0.85182,0.85042,0.85147,6697.0601
06.01.2020 13:00:00.000 GMT+0100,0.85147,0.85229,0.85106,0.85229,4564.8701
06.01.2020 14:00:00.000 GMT+0100,0.85227,0.85242,0.85173,0.85209,5027.6001
06.01.2020 15:00:00.000 GMT+0100,0.85209,0.85265,0.85062,0.85128,5611.2202
06.01.2020 16:00:00.000 GMT+0100,0.85128,0.85148,0.85007,0.85025,6065.0801
06.01.2020 17:00:00.000 GMT+0100,0.85026,0.85051,0.84923,0.84990,5248.6099
06.01.2020 18:00:00.000 GMT+0100,0.84991,0.85075,0.84946,0.85067,3681.25
06.01.2020 19:00:00.000 GMT+0100,0.85069,0.85073,0.85023,0.85055,2462.2
06.01.2020 20:00:00.000 GMT+0100,0.85057,0.85064,0.85012,0.85016,2877.8201
06.01.2020 21:00:00.000 GMT+0100,0.85017,0.85030,0.84999,0.85013,2138.8
06.01.2020 22:00:00.000 GMT+0100,0.85013,0.85044,0.85000,0.85000,2247.99
06.01.2020 23:00:00.000 GMT+0100,0.85000,0.85006,0.84936,0.84961,1518.1899
07.01.2020 00:00:00.000 GMT+0100,0.84959,0.85004,0.84958,0.84991,3297.99
07.01.2020 01:00:00.000 GMT+0100,0.84989,0.84998,0.84925,0.84938,3805.53
07.01.2020 02:00:00.000 GMT+0100,0.84938,0.84991,0.84936,0.84973,3944.8
07.01.2020 03:00:00.000 GMT+0100,0.84971,0.84987,0.84960,0.84973,2188.0901
07.01.2020 04:00:00.000 GMT+0100,0.84974,0.84983,0.84942,0.84955,2362.97
07.01.2020 05:00:00.000 GMT+0100,0.84953,0.84982,0.84940,0.84960,2926.52
07.01.2020 06:00:00.000 GMT+0100,0.84960,0.85032,0.84953,0.85008,2895.48
07.01.2020 07:00:00.000 GMT+0100,0.85004,0.85043,0.84982,0.84990,6766.8999
