Local time,Open,High,Low,Close,Volume
27.12.2019 00:00:00.000 GMT+0100,1.08867,1.08986,1.08858,1.08950,3390.26
27.12.2019 01:00:00.000 GMT+0100,1.08950,1.08961,1.08805,1.08868,3028.1201
27.12.2019 02:00:00.000 GMT+0100,1.08868,1.08951,1.08843,1.08950,4483.0298
27.12.2019 03:00:00.000 GMT+0100,1.08950,1.08968,1.08921,1.08951,3076.8301
27.12.2019 04:00:00.000 GMT+0100,1.08951,1.08989,1.08947,1.08957,2170.1799
27.12.2019 05:00:00.000 GMT+0100,1.08958,1.08985,1.08944,1.08979,1623.8101
27.12.2019 06:00:00.000 GMT+0100,1.08983,1.08993,1.08968,1.08987,1510.47
27.12.2019 07:00:00.000 GMT+0100,1.08988,1.09021,1.08957,1.09020,1871.91
27.12.2019 08:00:00.000 GMT+0100,1.09022,1.09048,1.08921,1.09001,4105.5
27.12.2019 09:00:00.000 GMT+0100,1.09003,1.09013,1.08853,1.08906,6267.4702
27.12.2019 10:00:00.000 GMT+0100,1.08907,1.08929,1.08692,1.08737,4819.54
27.12.2019 11:00:00.000 GMT+0100,1.08739,1.08845,1.08731,1.08843,4520.8799
27.12.2019 12:00:00.000 GMT+0100,1.08842,1.08855,1.08786,1.08802,4527.4102
27.12.2019 13:00:00.000 GMT+0100,1.08802,1.08916,1.08793,1.08894,4591.1001
27.12.2019 14:00:00.000 GMT+0100,1.08894,1.08911,1.08831,1.08876,5995.1201
27.12.2019 15:00:00.000 GMT+0100,1.08876,1.08898,1.08828,1.08843,7708.3701
27.12.2019 16:00:00.000 GMT+0100,1.08843,1.08986,1.08838,1.08934,8191.04
27.12.2019 17:00:00.000 GMT+0100,1.08934,1.08934,1.08811,1.08843,5661.6602
27.12.2019 18:00:00.000 GMT+0100,1.08844,1.08856,1.08799,1.08854,3552.97
27.12.2019 19:00:00.000 GMT+0100,1.08856,1.08866,1.08819,1.08852,2578.0701
27.12.2019 20:00:00.000 GMT+0100,1.08852,1.08901,1.08838,1.08889,2806.99
27.12.2019 21:00:00.000 GMT+0100,1.08889,1.08907,1.08866,1.08906,2391.0801
27.12.2019 22:00:00.000 GMT+0100,1.08905,1.08954,1.08897,1.08903,2017.42
29.12.2019 23:00:00.000 GMT+0100,1.08848,1.08998,1.08848,1.08947,2481.3899
30.12.2019 00:00:00.000 GMT+0100,1.08933,1.08933,1.08855,1.08893,1820.84
30.12.2019 01:00:00.000 GMT+0100,1.08892,1.08976,1.08873,1.08964,1659.5601
30.12.2019 02:00:00.000 GMT+0100,1.08963,1.08967,1.08931,1.08944,1623.77
30.12.2019 03:00:00.000 GMT+0100,1.08944,1.08994,1.08915,1.08953,2173.0901
30.12.2019 04:00:00.000 GMT+0100,1.08954,1.08973,1.08894,1.08921,2815.1499
30.12.2019 05:00:00.000 GMT+0100,1.08920,1.08933,1.08906,1.08906,1439.66
30.12.2019 06:00:00.000 GMT+0100,1.08907,1.08930,1.08896,1.08915,1560.25
30.12.2019 07:00:00.000 GMT+0100,1.08916,1.08917,1.08839,1.08865,2045.62
30.12.2019 08:00:00.000 GMT+0100,1.08867,1.08993,1.08855,1.08973,4156.1699
30.12.2019 09:00:00.000 GMT+0100,1.08972,1.09034,1.08927,1.09011,5076.0298
30.12.2019 10:00:00.000 GMT+0100,1.09011,1.09016,1.08930,1.08944,5139.04
30.12.2019 11:00:00.000 GMT+0100,1.08944,1.08974,1.08756,1.08853,4835.1299
30.12.2019 12:00:00.000 GMT+0100,1.08853,1.08891,1.08742,1.08743,3813.27
30.12.2019 13:00:00.000 GMT+0100,1.08744,1.08767,1.08700,1.08716,3315.8101
30.12.2019 14:00:00.000 GMT+0100,1.08715,1.08733,1.08647,1.08671,6379.54
30.12.2019 15:00:00.000 GMT+0100,1.08671,1.08754,1.08518,1.08605,8820.6602
30.12.2019 16:00:00.000 GMT+0100,1.08605,1.08620,1.08494,1.08565,8469.6299
30.12.2019 17:00:00.000 GMT+0100,1.08565,1.08615,1.08542,1.08543,5822.75
30.12.2019 18:00:00.000 GMT+0100,1.08544,1.08552,1.08497,1.08532,3478.8
30.12.2019 19:00:00.000 GMT+0100,1.08532,1.08541,1.08509,1.08535,3788.5901
30.12.2019 20:00:00.000 GMT+0100,1.08535,1.08536,1.08493,1.08502,2947.3101
30.12.2019 21:00:00.000 GMT+0100,1.08503,1.08543,1.08498,1.08542,2588.54
30.12.2019 22:00:00.000 GMT+0100,1.08543,1.08575,1.08542,1.08558,1362.36
30.12.2019 23:00:00.000 GMT+0100,1.08558,1.08577,1.08464,1.08531,821.74
31.12.2019 00:00:00.000 GMT+0100,1.08526,1.08548,1.08491,1.08521,1566.24
31.12.2019 01:00:00.000 GMT+0100,1.08521,1.08563,1.08518,1.08544,1161.95
31.12.2019 02:00:00.000 GMT+0100,1.08544,1.08564,1.08517,1.08522,1742.09
31.12.2019 03:00:00.000 GMT+0100,1.08521,1.08529,1.08498,1.08501,2006.8199
31.12.2019 04:00:00.000 GMT+0100,1.08499,1.08500,1.08398,1.08445,1854.28
31.12.2019 05:00:00.000 GMT+0100,1.08445,1.08462,1.08440,1.08459,588.52
31.12.2019 06:00:00.000 GMT+0100,1.08456,1.08477,1.08434,1.08474,961.43
31.12.2019 07:00:00.000 GMT+0100,1.08472,1.08475,1.08447,1.08462,854.37
31.12.2019 08:00:00.000 GMT+0100,1.08463,1.08681,1.08427,1.08624,3338.6201
31.12.2019 09:00:00.000 GMT+0100,1.08625,1.08631,1.08497,1.08579,4638.1899
31.12.2019 10:00:00.000 GMT+0100,1.08579,1.08638,1.08551,1.08591,3004.48
31.12.2019 11:00:00.000 GMT+0100,1.08590,1.08596,1.08491,1.08496,3651.72
31.12.2019 12:00:00.000 GMT+0100,1.08496,1.08561,1.08450,1.08554,6047.7598
31.12.2019 13:00:00.000 GMT+0100,1.08553,1.08621,1.08467,1.08470,4715.25
31.12.2019 14:00:00.000 GMT+0100,1.08469,1.08537,1.08428,1.08462,6130.5601
31.12.2019 15:00:00.000 GMT+0100,1.08461,1.08520,1.08406,1.08488,6987.5898
31.12.2019 16:00:00.000 GMT+0100,1.08488,1.08834,1.08469,1.08709,10967.2197
31.12.2019 17:00:00.000 GMT+0100,1.08709,1.08712,1.08586,1.08667,10190.0898
31.12.2019 18:00:00.000 GMT+0100,1.08667,1.08676,1.08535,1.08537,5182.8501
