Local time,Open,High,Low,Close,Volume
27.12.2019 00:00:00.000 GMT+0100,121.685,121.743,121.685,121.704,21237.7207
27.12.2019 01:00:00.000 GMT+0100,121.704,121.725,121.596,121.672,12583.6797
27.12.2019 02:00:00.000 GMT+0100,121.672,121.746,121.641,121.745,11764.5098
27.12.2019 03:00:00.000 GMT+0100,121.750,121.841,121.712,121.822,9140.0996
27.12.2019 04:00:00.000 GMT+0100,121.823,121.841,121.799,121.810,6886.2798
27.12.2019 05:00:00.000 GMT+0100,121.810,121.837,121.791,121.833,5107.8901
27.12.2019 06:00:00.000 GMT+0100,121.833,121.886,121.830,121.880,6024.4502
27.12.2019 07:00:00.000 GMT+0100,121.880,121.888,121.845,121.877,4832.8999
27.12.2019 08:00:00.000 GMT+0100,121.877,121.986,121.867,121.983,8561.7402
27.12.2019 09:00:00.000 GMT+0100,121.985,122.078,121.973,122.002,14487.5195
27.12.2019 10:00:00.000 GMT+0100,122.006,122.054,121.953,122.049,7190.7402
27.12.2019 11:00:00.000 GMT+0100,122.050,122.133,122.025,122.131,6991.5898
27.12.2019 12:00:00.000 GMT+0100,122.131,122.166,122.077,122.140,8421.8096
27.12.2019 13:00:00.000 GMT+0100,122.140,122.238,122.135,122.217,6648.0498
27.12.2019 14:00:00.000 GMT+0100,122.217,122.282,122.192,122.231,7153.8701
27.12.2019 15:00:00.000 GMT+0100,122.227,122.282,122.190,122.201,6606.4199
27.12.2019 16:00:00.000 GMT+0100,122.204,122.473,122.189,122.395,10764.2197
27.12.2019 17:00:00.000 GMT+0100,122.396,122.444,122.333,122.389,7131.6099
27.12.2019 18:00:00.000 GMT+0100,122.390,122.500,122.383,122.499,3802.8101
27.12.2019 19:00:00.000 GMT+0100,122.500,122.500,122.441,122.473,4295.9702
27.12.2019 20:00:00.000 GMT+0100,122.474,122.503,122.404,122.455,7102.0098
27.12.2019 21:00:00.000 GMT+0100,122.456,122.457,122.346,122.358,6432.3901
27.12.2019 22:00:00.000 GMT+0100,122.357,122.457,122.335,122.370,1961.28
29.12.2019 23:00:00.000 GMT+0100,122.263,122.415,122.165,122.380,11749.9404
30.12.2019 00:00:00.000 GMT+0100,122.372,122.445,122.356,122.398,8599.4102
30.12.2019 01:00:00.000 GMT+0100,122.397,122.485,122.343,122.463,12425.4502
30.12.2019 02:00:00.000 GMT+0100,122.464,122.474,122.400,122.425,7548.5898
30.12.2019 03:00:00.000 GMT+0100,122.427,122.435,122.271,122.298,8643.1904
30.12.2019 04:00:00.000 GMT+0100,122.297,122.357,122.234,122.280,8226.5195
30.12.2019 05:00:00.000 GMT+0100,122.279,122.309,122.236,122.236,5631.96
30.12.2019 06:00:00.000 GMT+0100,122.236,122.330,122.222,122.326,5405.8599
30.12.2019 07:00:00.000 GMT+0100,122.326,122.326,122.187,122.235,5855.0801
30.12.2019 08:00:00.000 GMT+0100,122.236,122.354,122.210,122.237,9582.2695
30.12.2019 09:00:00.000 GMT+0100,122.236,122.334,122.211,122.273,12683.9502
30.12.2019 10:00:00.000 GMT+0100,122.273,122.282,122.199,122.247,8718.5596
30.12.2019 11:00:00.000 GMT+0100,122.248,122.279,122.155,122.202,8941.5703
30.12.2019 12:00:00.000 GMT+0100,122.200,122.271,122.178,122.198,7901.5898
30.12.2019 13:00:00.000 GMT+0100,122.198,122.253,122.125,122.193,9209.6797
30.12.2019 14:00:00.000 GMT+0100,122.193,122.250,122.135,122.245,13316.5195
30.12.2019 15:00:00.000 GMT+0100,122.244,122.277,121.970,121.978,19058.8496
30.12.2019 16:00:00.000 GMT+0100,121.978,122.147,121.878,122.116,16839.8008
30.12.2019 17:00:00.000 GMT+0100,122.115,122.214,122.088,122.126,13008.8203
30.12.2019 18:00:00.000 GMT+0100,122.126,122.174,122.096,122.104,6454.8198
30.12.2019 19:00:00.000 GMT+0100,122.104,122.137,121.962,121.984,5738
30.12.2019 20:00:00.000 GMT+0100,121.984,121.987,121.933,121.943,4478.7202
30.12.2019 21:00:00.000 GMT+0100,121.945,121.959,121.872,121.914,5143.0298
30.12.2019 22:00:00.000 GMT+0100,121.915,122.000,121.915,121.948,5630.1802
30.12.2019 23:00:00.000 GMT+0100,121.948,122.012,121.895,121.957,4773.98
31.12.2019 00:00:00.000 GMT+0100,121.958,121.999,121.947,121.978,5792.3599
31.12.2019 01:00:00.000 GMT+0100,121.982,122.008,121.920,121.922,5325.52
31.12.2019 02:00:00.000 GMT+0100,121.920,121.977,121.851,121.886,8829.2002
31.12.2019 03:00:00.000 GMT+0100,121.887,121.911,121.812,121.825,7054.46
31.12.2019 04:00:00.000 GMT+0100,121.824,121.824,121.725,121.787,5243.46
31.12.2019 05:00:00.000 GMT+0100,121.786,121.834,121.783,121.802,4360.6802
31.12.2019 06:00:00.000 GMT+0100,121.801,121.851,121.768,121.850,5903.3501
31.12.2019 07:00:00.000 GMT+0100,121.850,121.852,121.783,121.802,4830.0801
31.12.2019 08:00:00.000 GMT+0100,121.803,121.835,121.759,121.783,7693.52
31.12.2019 09:00:00.000 GMT+0100,121.787,121.851,121.735,121.830,8360.4404
31.12.2019 10:00:00.000 GMT+0100,121.829,121.864,121.771,121.810,7224.98
31.12.2019 11:00:00.000 GMT+0100,121.811,121.838,121.731,121.779,8167.6001
31.12.2019 12:00:00.000 GMT+0100,121.779,121.931,121.735,121.928,11035.0195
31.12.2019 13:00:00.000 GMT+0100,121.926,121.955,121.895,121.911,10124.2402
31.12.2019 14:00:00.000 GMT+0100,121.912,122.006,121.881,121.973,10975.9502
31.12.2019 15:00:00.000 GMT+0100,121.974,122.018,121.880,121.914,14108.5195
31.12.2019 16:00:00.000 GMT+0100,121.910,122.051,121.822,121.996,18355.3496
31.12.2019 17:00:00.000 GMT+0100,121.997,122.093,121.931,122.026,13710.2695
31.12.2019 18:00:00.000 GMT+0100,122.026,122.028,121.940,121.957,7751.48
31.12.2019 19:00:00.000 GMT+0100,121.955,121.968,121.936,121.939,2603.3999
31.12.2019 20:00:00.000 GMT+0100,121.939,121.940,121.885,121.891,1827.12
31.12.2019 21:00:00.000 GMT+0100,121.891,121.930,121.881,121.920,2416.76
31.12.2019 22:00:00.000 GMT+0100,121.918,121.923,121.816,121.827,1727.16
01.01.2020 23:00:00.000 GMT+0100,121.851,121.950,121.742,121.871,5323.54
02.01.2020 00:00:00.000 GMT+0100,121.872,121.984,121.825,121.981,10422.4004
02.01.2020 01:00:00.000 GMT+0100,121.978,121.987,121.904,121.951,8262.6104
02.01.2020 02:00:00.000 GMT+0100,121.952,122.021,121.895,121.946,7300.5298
02.01.2020 03:00:00.000 GMT+0100,121.947,121.991,121.913,121.968,5070.54
02.01.2020 04:00:00.000 GMT+0100,121.970,121.980,121.880,121.902,3766.6001
02.01.2020 05:00:00.000 GMT+0100,121.901,121.918,121.790,121.811,4514.4399
02.01.2020 06:00:00.000 GMT+0100,121.811,121.847,121.800,121.845,4626.75
02.01.2020 07:00:00.000 GMT+0100,121.845,121.878,121.826,121.845,3621.3601
02.01.2020 08:00:00.000 GMT+0100,121.847,121.968,121.837,121.953,9053.9697
02.01.2020 09:00:00.000 GMT+0100,121.954,121.997,121.909,121.968,12527.9697
02.01.2020 10:00:00.000 GMT+0100,121.967,122.017,121.905,121.938,9171.0498
02.01.2020 11:00:00.000 GMT+0100,121.938,121.963,121.812,121.850,8476.6299
02.01.2020 12:00:00.000 GMT+0100,121.851,121.894,121.657,121.663,9902.4102
02.01.2020 13:00:00.000 GMT+0100,121.664,121.783,121.646,121.772,8889.5498
02.01.2020 14:00:00.000 GMT+0100,121.773,121.775,121.630,121.702,15436.8496
02.01.2020 15:00:00.000 GMT+0100,121.702,121.725,121.384,121.438,42245.3984
02.01.2020 16:00:00.000 GMT+0100,121.437,121.442,120.981,121.276,84766.3672
02.01.2020 17:00:00.000 GMT+0100,121.274,121.319,121.078,121.085,83172.2031
02.01.2020 18:00:00.000 GMT+0100,121.085,121.261,121.070,121.230,9042.8799
02.01.2020 19:00:00.000 GMT+0100,121.233,121.252,121.143,121.225,11719.1904
02.01.2020 20:00:00.000 GMT+0100,121.224,121.267,121.193,121.218,9336.2197
02.01.2020 21:00:00.000 GMT+0100,121.214,121.256,121.200,121.255,6862.1802
02.01.2020 22:00:00.000 GMT+0100,121.255,121.301,121.237,121.301,2484.77
02.01.2020 23:00:00.000 GMT+0100,121.276,121.294,121.235,121.260,1544.23
03.01.2020 00:00:00.000 GMT+0100,121.261,121.377,121.251,121.253,3715.45
03.01.2020 01:00:00.000 GMT+0100,121.252,121.283,121.132,121.148,6164.29
03.01.2020 02:00:00.000 GMT+0100,121.149,121.194,120.878,120.900,10453.8203
03.01.2020 03:00:00.000 GMT+0100,120.900,120.974,120.682,120.729,19964.3691
03.01.2020 04:00:00.000 GMT+0100,120.728,120.871,120.669,120.863,10490.4805
03.01.2020 05:00:00.000 GMT+0100,120.863,120.926,120.767,120.784,7947.4102
03.01.2020 06:00:00.000 GMT+0100,120.783,120.819,120.684,120.733,10822.4502
03.01.2020 07:00:00.000 GMT+0100,120.733,120.799,120.668,120.783,6577.0698
03.01.2020 08:00:00.000 GMT+0100,120.783,120.786,120.354,120.394,18765.7891
03.01.2020 09:00:00.000 GMT+0100,120.391,120.585,120.368,120.424,17168.4004
03.01.2020 10:00:00.000 GMT+0100,120.426,120.466,120.309,120.388,15494.5801
03.01.2020 11:00:00.000 GMT+0100,120.388,120.457,120.265,120.324,17136.6191
03.01.2020 12:00:00.000 GMT+0100,120.324,120.344,120.167,120.235,13408.1797
03.01.2020 13:00:00.000 GMT+0100,120.235,120.443,120.233,120.391,12037.21
03.01.2020 14:00:00.000 GMT+0100,120.392,120.560,120.392,120.468,14489.4004
03.01.2020 15:00:00.000 GMT+0100,120.465,120.723,120.433,120.688,17348.3203
03.01.2020 16:00:00.000 GMT+0100,120.695,120.746,120.554,120.607,22245.6992
03.01.2020 17:00:00.000 GMT+0100,120.609,120.676,120.507,120.596,15783.4902
03.01.2020 18:00:00.000 GMT+0100,120.597,120.645,120.566,120.621,6871.0601
03.01.2020 19:00:00.000 GMT+0100,120.621,120.679,120.463,120.653,10926.54
03.01.2020 20:00:00.000 GMT+0100,120.655,120.681,120.611,120.622,9370.3096
03.01.2020 21:00:00.000 GMT+0100,120.621,120.674,120.603,120.646,6267.3301
03.01.2020 22:00:00.000 GMT+0100,120.645,120.664,120.565,120.573,2885
05.01.2020 23:00:00.000 GMT+0100,120.424,120.515,120.299,120.301,3170.29
06.01.2020 00:00:00.000 GMT+0100,120.303,120.516,120.276,120.498,16874.8906
